date,rfr
1/4/1954,0.0133
1/5/1954,0.0128
1/6/1954,0.0128
1/7/1954,0.0131
1/8/1954,0.0131
1/11/1954,0.0133
1/12/1954,0.013
1/13/1954,0.013
1/14/1954,0.0128
1/15/1954,0.012
1/18/1954,0.012
1/19/1954,
1/20/1954,0.0116
1/21/1954,0.0108
1/22/1954,0.01
1/25/1954,0.01
1/26/1954,0.01
1/27/1954,0.0108
1/28/1954,0.0096
1/29/1954,0.0102
2/1/1954,0.0104
2/2/1954,0.01
2/3/1954,0.0102
2/4/1954,0.0101
2/5/1954,0.009
2/8/1954,0.0089
2/9/1954,0.0088
2/10/1954,0.0093
2/11/1954,0.0094
2/12/1954,
2/15/1954,0.0098
2/16/1954,0.0098
2/17/1954,0.0102
2/18/1954,0.0097
2/19/1954,0.0096
2/22/1954,
2/23/1954,0.0095
2/24/1954,0.0097
2/25/1954,0.01
2/26/1954,0.01
3/1/1954,0.0103
3/2/1954,0.0103
3/3/1954,0.0105
3/4/1954,0.0103
3/5/1954,0.0102
3/8/1954,0.0103
3/9/1954,0.0103
3/10/1954,0.0106
3/11/1954,0.0105
3/12/1954,0.0104
3/15/1954,0.0104
3/16/1954,0.0102
3/17/1954,0.0101
3/18/1954,0.0101
3/19/1954,0.01
3/22/1954,0.01
3/23/1954,0.01
3/24/1954,0.0105
3/25/1954,0.0107
3/26/1954,0.0105
3/29/1954,0.0105
3/30/1954,0.0104
3/31/1954,0.0103
4/1/1954,0.0102
4/2/1954,0.01
4/5/1954,0.0098
4/6/1954,0.0097
4/7/1954,0.01
4/8/1954,0.01
4/9/1954,0.0103
4/12/1954,0.0104
4/13/1954,0.0106
4/14/1954,0.0104
4/15/1954,0.0103
4/16/1954,0.0103
4/19/1954,0.0102
4/20/1954,0.01
4/21/1954,0.01
4/22/1954,0.0098
4/23/1954,0.0094
4/26/1954,0.0085
4/27/1954,0.0083
4/28/1954,0.0082
4/29/1954,0.0081
4/30/1954,0.0081
5/3/1954,0.0077
5/4/1954,0.0072
5/5/1954,0.0072
5/6/1954,0.0075
5/7/1954,0.0079
5/10/1954,0.008
5/11/1954,0.0078
5/12/1954,0.0082
5/13/1954,0.0082
5/14/1954,0.008
5/17/1954,0.008
5/18/1954,0.0081
5/19/1954,0.0079
5/20/1954,0.0078
5/21/1954,0.0076
5/24/1954,0.0073
5/25/1954,0.007
5/26/1954,0.007
5/27/1954,0.007
5/28/1954,0.0072
5/31/1954,
6/1/1954,0.0071
6/2/1954,0.0071
6/3/1954,0.0068
6/4/1954,0.0066
6/7/1954,0.0061
6/8/1954,0.0061
6/9/1954,0.0062
6/10/1954,0.0061
6/11/1954,0.0062
6/14/1954,0.0064
6/15/1954,0.0063
6/16/1954,0.0063
6/17/1954,0.0061
6/18/1954,0.0063
6/21/1954,0.0063
6/22/1954,0.0061
6/23/1954,0.0062
6/24/1954,0.0062
6/25/1954,0.0064
6/28/1954,0.0064
6/29/1954,0.0064
6/30/1954,0.0064
7/1/1954,0.0065
7/2/1954,0.0066
7/5/1954,
7/6/1954,0.0066
7/7/1954,0.0065
7/8/1954,0.0065
7/9/1954,0.0067
7/12/1954,0.0069
7/13/1954,0.007
7/14/1954,0.0073
7/15/1954,0.0075
7/16/1954,0.0073
7/19/1954,0.0073
7/20/1954,0.0072
7/21/1954,0.0074
7/22/1954,0.0075
7/23/1954,0.0077
7/26/1954,0.0078
7/27/1954,0.0077
7/28/1954,0.0079
7/29/1954,0.0079
7/30/1954,0.0079
8/2/1954,0.0078
8/3/1954,0.0077
8/4/1954,0.0079
8/5/1954,0.008
8/6/1954,0.0083
8/9/1954,0.009
8/10/1954,0.0088
8/11/1954,0.0093
8/12/1954,0.0093
8/13/1954,0.0093
8/16/1954,0.0091
8/17/1954,0.0091
8/18/1954,0.0092
8/19/1954,0.0093
8/20/1954,0.0094
8/23/1954,0.01
8/24/1954,0.01
8/25/1954,0.0098
8/26/1954,0.0099
8/27/1954,0.01
8/30/1954,0.0104
8/31/1954,0.0105
9/1/1954,0.0103
9/2/1954,0.0102
9/3/1954,0.0102
9/6/1954,
9/7/1954,0.0103
9/8/1954,0.0102
9/9/1954,0.0102
9/10/1954,0.0102
9/13/1954,0.0103
9/14/1954,0.0104
9/15/1954,0.0102
9/16/1954,0.01
9/17/1954,0.01
9/20/1954,0.0098
9/21/1954,0.0098
9/22/1954,0.0099
9/23/1954,0.0099
9/24/1954,0.0099
9/27/1954,0.01
9/28/1954,0.0099
9/29/1954,0.01
9/30/1954,0.0099
10/1/1954,0.0097
10/4/1954,0.0096
10/5/1954,0.0094
10/6/1954,0.0094
10/7/1954,0.0094
10/8/1954,0.0094
10/11/1954,0.0096
10/12/1954,
10/13/1954,0.0098
10/14/1954,0.0099
10/15/1954,0.01
10/18/1954,0.01
10/19/1954,0.0099
10/20/1954,0.0101
10/21/1954,0.01
10/22/1954,0.01
10/25/1954,0.01
10/26/1954,0.01
10/27/1954,0.0101
10/28/1954,0.0101
10/29/1954,0.01
11/1/1954,0.01
